symbol,mint,score,devSol,source,window_s,decision_s,reaction_s,hold_s,inTime,move_window_pct,slip_to_buy_pct,after_buy_pct,pnlPct,peakPnlPct,exitReason,price_eligible,price_sustained,price_queued,price_bought,price_fading,price_sold,price_collapsed,t_eligible,t_sustained,t_queued,t_bought,t_fading,t_collapsed,t_sold
"VZLAHELP","7DbHCm9rDBoewCDdjcU6YQcHFdmMM5oKKUxSPTxupump","","","","","","","","","","","","","","","","0.000002314","","","","","","","2026-07-04T17:49:08.751Z","","","","",""
"Pauly","4GWWtUBjpccLix7pRChU36RmBDhGB7z1Xpgsrecupump","95","26.271604937","","","","","","","","","","","","","0.00001696","0.00002013","","","","","","2026-07-04T17:50:39.549Z","2026-07-04T17:51:38.751Z","","","","",""
"SOLDIERS","H9dkD7Mf37gSFAYUB4bqapt3z7d9WXNGwsaVfH9A3Pi4","71","3","","","","","","","","","","","","","0.000002319","","","","","","","2026-07-04T17:52:58.138Z","","","","","",""
"ANSEM","3S2cy58GomVhFvyN4pj4j3gueMCJGkNUwYMxuBoupump","83","6.872852245","","","","","","","","","","","","","0.000004005","0.000004533","","","","","","2026-07-04T17:52:58.530Z","2026-07-04T17:54:08.972Z","","","","",""
"BRODIE","2ZUScKjyXXpFg6BV3zcaMuGi65KxtDpQneVCJ3gNpump","68","2.4691358","","","","","","","","","","","","","0.000002422","0.000002422","","","","","","2026-07-04T17:53:39.563Z","2026-07-04T17:54:38.745Z","","","","",""
"Whitey","Djb5Vq4y7g6ypMqQHZBABUpqbcC6SACzZs7u6RFVpump","75","2.616000001","","","","","","","","","","","","","0.000002157","","","","","","","2026-07-04T17:55:15.570Z","","","","","",""
"Whitey","CPWxjHB1b8q8bbvbZX3VijkVKu8TvfPTFHkFQUSfpump","68","2.356000001","","","","","","","","","","","","","0.000003228","0.000003228","","","","","","2026-07-04T17:56:21.575Z","2026-07-04T17:57:20.756Z","","","","",""
"Whitey","GHEHLUfG17gaca6ode1dcNQu9gMrFw11YCmvvFXypump","81","6.862000001","","","","","","","","","","","","","0.000002749","0.000002749","","","","","","2026-07-04T17:56:57.648Z","2026-07-04T17:58:02.752Z","","","","",""
"Whitey","GxFHAAyvEAKdYco1Ed45PC4Mef9g5qch7GbNN9twpump","","","","","","","","","","","","","","","","","","","0.000002226","","","","","","","2026-07-04T17:57:02.747Z","",""
"Lily","Bv9YEVtm5XKEhQpDkRzbmKJL3pNS8Y8HC5XvMqj1pump","71","3","","","","","","","","","","","","","0.000008254","","","","0.000002325","","","2026-07-04T17:57:27.576Z","","","","2026-07-04T17:58:02.957Z","",""
"MEMECOINS","8ZQz74WRYDbgRwbB9taTzBmhcbZs14eKW1xVfMEfmk6H","82","6","","","","","","","","","","","","","0.000002311","","","","","","","2026-07-04T17:57:46.057Z","","","","","",""
"MAV","3J6Cw1X7JdcbPJhLxgBtoT9hQnbZqNAUTPVDBtWdpump","75","4.938271603","","","","","","","","","","","","","0.000002419","","","","","","","2026-07-04T17:57:46.448Z","","","","","",""
"Kākāpō","ErQ2TaX9hpiicWb4ws7rdHLR8o6MCpd2MeAj6WLfUvcn","71","3","","","","","","","","","","","","","0.00000242","","","","","","","2026-07-04T17:57:51.979Z","","","","","",""
"RICH","APQaA8ty9GgctUrpMGEvRxVuDhLqYPwSaZyRvQRapump","79","5","","","","","","","","","","","","","0.000002434","","","","","","","2026-07-04T17:57:52.363Z","","","","","",""
"PUMP","EGNERRJ7BQ3qxNWH2GJ6gKmtx4ZQh4KykBzWiyDoixWL","","","","","","","","","","","","","","","","","","","","","0.000002459","","","","","","2026-07-04T17:57:57.583Z",""
"MAV","5ixi56ra1nGEHn9uWxRAiniyUKsFFhEXAKhvrB4gpump","100","3.5","","","","","","","","","","","","","0.000002311","","","","","","","2026-07-04T17:58:03.544Z","","","","","",""
"MAV","H9APcgttJrmyt9ikmDjonjYMopJKwNfBvDnUUZKwpump","72","4.938271603","","","","","","","","","","","","","0.000002309","","","","","","","2026-07-04T17:58:45.591Z","","","","","",""
"WIZARIA","9nwX8d22qZTHQs4jFhPwGY3ntGbZeVnK5BfoYAKnpump","83","6.872852234","","","","","","","","","","","","","0.000002346","","","","0.000002346","","","2026-07-04T17:58:51.000Z","","","","2026-07-04T17:58:51.001Z","",""
